 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Tech-support, Black, Female, Jamaica, <=50K
 Private, 9th, Married-spouse-absent, Machine-op-inspct, Black, Male, Haiti, <=50K
 Private, Masters, Never-married, Tech-support, Black, Female, ?, <=50K
 Private, HS-grad, Divorced, Exec-managerial, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Priv-house-serv, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Other-service, Other, Female, United-States, <=50K
 ?, Some-college, Widowed, ?, Asian-Pac-Islander, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Craft-repair, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Local-gov, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Machine-op-inspct, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
 Self-emp-inc, Bachelors, Widowed, Prof-specialty, White, Female, United-States, <=50K
 ?, 11th, Divorced, ?, White, Female, United-States, <=50K
 Federal-gov, Doctorate, Separated, Prof-specialty, Black, Female, United-States, >50K
 Private, Some-college, Widowed, Other-service, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, Bachelors, Divorced, Prof-specialty, White, Female, England, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Local-gov, 11th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Married-spouse-absent, Machine-op-inspct, White, Female, United-States, <=50K
 ?, Some-college, Divorced, ?, Asian-Pac-Islander, Female, United-States, <=50K
 Federal-gov, Assoc-acdm, Divorced, Adm-clerical, Asian-Pac-Islander, Male, Philippines, <=50K
 Local-gov, HS-grad, Never-married, Other-service, Black, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 State-gov, Doctorate, Separated, Prof-specialty, White, Female, United-States, >50K
 Private, 10th, Separated, Adm-clerical, White, Male, United-States, <=50K
 Private, Bachelors, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Other-service, White, Female, Portugal, >50K
 Self-emp-inc, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Widowed, Adm-clerical, Black, Female, United-States, <=50K
 Private, 7th-8th, Divorced, Machine-op-inspct, Black, Female, United-States, <=50K
 Local-gov, Some-college, Married-spouse-absent, Exec-managerial, Black, Female, United-States, <=50K
 Private, HS-grad, Married-spouse-absent, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Married-spouse-absent, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, White, Female, United-States, <=50K
 State-gov, 7th-8th, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, 10th, Married-spouse-absent, Adm-clerical, Black, Female, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, White, Female, Iran, <=50K
 Private, Some-college, Divorced, Prof-specialty, White, Female, United-States, <=50K
 State-gov, Some-college, Divorced, Adm-clerical, Black, Male, Jamaica, <=50K
 Federal-gov, HS-grad, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Female, United-States, >50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 Federal-gov, HS-grad, Never-married, Exec-managerial, Black, Female, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Male, United-States, <=50K
 Private, 7th-8th, Widowed, Other-service, Amer-Indian-Eskimo, Female, United-States, <=50K
 ?, Bachelors, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Machine-op-inspct, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 11th, Widowed, Tech-support, White, Female, United-States, <=50K
 Private, 10th, Married-spouse-absent, Craft-repair, White, Male, Mexico, <=50K
 Private, HS-grad, Separated, Craft-repair, Black, Female, ?, <=50K
 Private, Some-college, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, HS-grad, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 ?, 7th-8th, Never-married, ?, White, Female, Mexico, <=50K
 Private, 11th, Separated, Priv-house-serv, White, Female, Mexico, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Tech-support, White, Female, United-States, <=50K
 Private, Assoc-acdm, Widowed, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Self-emp-not-inc, Masters, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, 10th, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Sales, White, Female, United-States, <=50K
 Federal-gov, HS-grad, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, 11th, Widowed, Handlers-cleaners, White, Female, United-States, <=50K
 Local-gov, Some-college, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, Asian-Pac-Islander, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Female, United-States, <=50K
 State-gov, HS-grad, Divorced, Protective-serv, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Local-gov, Masters, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Masters, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Transport-moving, Black, Male, United-States, <=50K
 Private, 9th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 11th, Never-married, Adm-clerical, Black, Male, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Male, United-States, <=50K
 Federal-gov, Bachelors, Divorced, Exec-managerial, Black, Female, United-States, >50K
 Self-emp-not-inc, Masters, Widowed, Exec-managerial, White, Female, ?, >50K
 Private, HS-grad, Never-married, Exec-managerial, Black, Female, United-States, <=50K
 Local-gov, Bachelors, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, 11th, Separated, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, 11th, Widowed, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, 5th-6th, Separated, Other-service, White, Female, Mexico, <=50K
 Local-gov, Bachelors, Divorced, Prof-specialty, White, Female, France, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Separated, Adm-clerical, White, Female, Germany, <=50K
 Private, Bachelors, Widowed, Prof-specialty, White, Female, Poland, >50K
 Private, 12th, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 Local-gov, Some-college, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, 1st-4th, Separated, Handlers-cleaners, White, Male, Honduras, <=50K
 State-gov, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, 9th, Widowed, Sales, White, Female, United-States, <=50K
 Private, 11th, Married-spouse-absent, Handlers-cleaners, White, Female, United-States, <=50K
 Private, Masters, Divorced, Exec-managerial, White, Male, United-States, >50K
 Private, 11th, Widowed, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, Bachelors, Divorced, Adm-clerical, White, Female, Germany, <=50K
 Private, Masters, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Machine-op-inspct, White, Female, United-States, <=50K
 Local-gov, Some-college, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Private, Bachelors, Divorced, Prof-specialty, White, Female, El-Salvador, <=50K
 Private, Bachelors, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Transport-moving, White, Male, United-States, <=50K
 Federal-gov, HS-grad, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Private, 10th, Widowed, Farming-fishing, White, Male, United-States, <=50K
 Local-gov, Masters, Divorced, Prof-specialty, White, Female, ?, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Local-gov, Some-college, Widowed, Adm-clerical, White, Female, Mexico, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-inc, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-inc, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Local-gov, Some-college, Divorced, Craft-repair, White, Male, United-States, <=50K
 Local-gov, HS-grad, Never-married, Protective-serv, White, Male, United-States, <=50K
 Private, 7th-8th, Never-married, Machine-op-inspct, White, Male, El-Salvador, <=50K
 Private, 5th-6th, Never-married, Priv-house-serv, White, Female, Nicaragua, <=50K
 Private, Some-college, Divorced, Tech-support, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, Black, Female, United-States, <=50K
 State-gov, Assoc-acdm, Divorced, Prof-specialty, Asian-Pac-Islander, Female, United-States, <=50K
 ?, Some-college, Widowed, ?, White, Female, United-States, <=50K
 Private, Masters, Divorced, Prof-specialty, White, Female, United-States, <=50K
 ?, HS-grad, Widowed, ?, White, Female, United-States, <=50K
 Private, Bachelors, Separated, Machine-op-inspct, Black, Female, United-States, <=50K
 Local-gov, Masters, Separated, Exec-managerial, Black, Male, United-States, >50K
 Local-gov, Assoc-voc, Divorced, Adm-clerical, White, Female, United-States, <=50K
 State-gov, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, 10th, Divorced, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 ?, Some-college, Widowed, ?, White, Female, United-States, <=50K
 Self-emp-not-inc, 11th, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Local-gov, 11th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Separated, Tech-support, Black, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Sales, White, Female, United-States, <=50K
 Private, 10th, Divorced, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Female, United-States, <=50K
 Private, Some-college, Widowed, Machine-op-inspct, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Other-service, Black, Female, United-States, <=50K
 Private, Bachelors, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, 10th, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Tech-support, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Prof-specialty, White, Female, Puerto-Rico, <=50K
 Private, Some-college, Never-married, Adm-clerical, Asian-Pac-Islander, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Other-service, White, Female, United-States, <=50K
 Private, 7th-8th, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Masters, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 State-gov, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 State-gov, HS-grad, Never-married, Exec-managerial, Black, Male, United-States, <=50K
 Private, Assoc-acdm, Divorced, Adm-clerical, White, Female, Poland, <=50K
 Private, HS-grad, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Private, Some-college, Separated, Tech-support, Black, Female, United-States, <=50K
 Local-gov, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Handlers-cleaners, White, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Craft-repair, White, Male, United-States, >50K
 Private, Some-college, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, 12th, Never-married, Machine-op-inspct, White, Male, Mexico, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Exec-managerial, White, Male, United-States, >50K
 ?, HS-grad, Separated, ?, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Doctorate, Married-spouse-absent, Prof-specialty, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, Mexico, <=50K
 Private, HS-grad, Divorced, Handlers-cleaners, Black, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 5th-6th, Divorced, Priv-house-serv, White, Female, Mexico, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Exec-managerial, Black, Female, Jamaica, <=50K
 Private, Assoc-acdm, Divorced, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Female, United-States, <=50K
 Private, 7th-8th, Divorced, Machine-op-inspct, White, Female, United-States, <=50K
 Local-gov, Some-college, Never-married, Exec-managerial, Black, Female, United-States, <=50K
 State-gov, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Craft-repair, White, Male, Mexico, >50K
 State-gov, HS-grad, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, 5th-6th, Divorced, Farming-fishing, White, Male, United-States, <=50K
 Private, 10th, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Sales, White, Female, United-States, <=50K
 Federal-gov, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Sales, Black, Female, United-States, <=50K
 Self-emp-inc, HS-grad, Widowed, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Female, United-States, <=50K
 Private, Some-college, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 State-gov, Assoc-acdm, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Local-gov, Some-college, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, Assoc-voc, Widowed, Prof-specialty, White, Female, United-States, <=50K
 Local-gov, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 Private, 5th-6th, Widowed, Other-service, White, Female, Mexico, <=50K
 Self-emp-inc, 7th-8th, Never-married, Craft-repair, Black, Male, United-States, <=50K
 Private, 9th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Local-gov, Assoc-voc, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, 9th, Separated, Other-service, Other, Female, Mexico, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, England, <=50K
 Self-emp-not-inc, Some-college, Divorced, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Federal-gov, Some-college, Never-married, Prof-specialty, White, Female, United-States, <=50K
 ?, 9th, Divorced, ?, White, Female, Mexico, <=50K
 Private, HS-grad, Separated, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Married-spouse-absent, Sales, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, White, Female, United-States, <=50K
 ?, 7th-8th, Widowed, ?, White, Female, United-States, <=50K
 Private, Bachelors, Married-spouse-absent, Exec-managerial, White, Female, United-States, <=50K
 ?, Bachelors, Divorced, ?, White, Female, United-States, <=50K
 State-gov, HS-grad, Married-spouse-absent, Exec-managerial, White, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Tech-support, White, Female, ?, <=50K
 Private, HS-grad, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Assoc-acdm, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Local-gov, HS-grad, Never-married, Other-service, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Private, 5th-6th, Divorced, Handlers-cleaners, White, Male, Mexico, <=50K
 Self-emp-inc, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Transport-moving, Black, Female, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Other, Male, United-States, <=50K
 Private, 10th, Separated, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Handlers-cleaners, Black, Female, United-States, <=50K
 Local-gov, Bachelors, Divorced, Adm-clerical, Asian-Pac-Islander, Female, United-States, <=50K
 Local-gov, Assoc-voc, Divorced, Protective-serv, White, Male, United-States, <=50K
 State-gov, Bachelors, Widowed, Exec-managerial, White, Female, United-States, <=50K
 ?, 9th, Divorced, ?, White, Female, Cuba, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Separated, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Craft-repair, White, Male, United-States, <=50K
 Local-gov, Assoc-acdm, Divorced, Other-service, White, Female, United-States, <=50K
 Private, 10th, Separated, Transport-moving, Black, Male, United-States, >50K
 Private, HS-grad, Divorced, Prof-specialty, White, Female, United-States, >50K
 ?, HS-grad, Divorced, ?, White, Female, United-States, <=50K
 Private, 11th, Separated, Other-service, Black, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, 9th, Widowed, Other-service, Black, Female, United-States, <=50K
 State-gov, Some-college, Never-married, Protective-serv, Black, Female, United-States, <=50K
 Private, 11th, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, Some-college, Divorced, Handlers-cleaners, Black, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, Black, Male, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, Black, Female, United-States, <=50K
 Federal-gov, HS-grad, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, 9th, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, Assoc-voc, Divorced, Other-service, White, Female, United-States, <=50K
 Private, 10th, Never-married, Sales, Other, Female, Dominican-Republic, <=50K
 Federal-gov, 12th, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, Bachelors, Widowed, Prof-specialty, White, Female, United-States, >50K
 ?, Assoc-voc, Widowed, ?, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Sales, Black, Female, United-States, <=50K
 Private, 5th-6th, Divorced, Machine-op-inspct, Other, Female, Dominican-Republic, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Black, Female, ?, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Local-gov, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 ?, 11th, Married-spouse-absent, ?, Black, Female, United-States, <=50K
 ?, HS-grad, Widowed, ?, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Machine-op-inspct, Other, Female, Puerto-Rico, <=50K
 Federal-gov, Some-college, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, 9th, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, Some-college, Divorced, Other-service, White, Female, United-States, <=50K
 Private, 5th-6th, Separated, Priv-house-serv, Other, Female, Mexico, <=50K
 Private, 9th, Divorced, Other-service, White, Female, United-States, <=50K
 Private, 9th, Never-married, Other-service, White, Male, Mexico, <=50K
 Private, Some-college, Divorced, Sales, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, Black, Female, United-States, <=50K
 Private, HS-grad, Widowed, Adm-clerical, White, Male, United-States, <=50K
 Private, 11th, Widowed, Other-service, White, Female, United-States, <=50K
 State-gov, HS-grad, Divorced, Adm-clerical, Asian-Pac-Islander, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Craft-repair, White, Male, United-States, <=50K
 Local-gov, HS-grad, Divorced, Tech-support, White, Female, United-States, <=50K
 State-gov, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Handlers-cleaners, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Exec-managerial, Asian-Pac-Islander, Female, United-States, <=50K
 Private, Assoc-voc, Separated, Prof-specialty, White, Female, United-States, <=50K
 Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Asian-Pac-Islander, Female, ?, <=50K
 State-gov, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, 10th, Never-married, Other-service, White, Female, Mexico, <=50K
 Local-gov, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, Bachelors, Separated, Prof-specialty, White, Female, United-States, <=50K
 Federal-gov, Some-college, Divorced, Exec-managerial, White, Male, United-States, >50K
 Private, HS-grad, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Federal-gov, Some-college, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Sales, White, Female, United-States, <=50K
 Local-gov, Masters, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Male, United-States, >50K
 Private, 10th, Never-married, Prof-specialty, Black, Female, United-States, <=50K
 Private, 12th, Widowed, Other-service, Black, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, Black, Male, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, White, Female, ?, <=50K
 ?, HS-grad, Married-spouse-absent, ?, White, Female, United-States, <=50K
 Local-gov, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 Federal-gov, Some-college, Widowed, Prof-specialty, Amer-Indian-Eskimo, Female, United-States, <=50K
 Local-gov, Doctorate, Widowed, Prof-specialty, White, Female, Iran, <=50K
 Private, Some-college, Married-spouse-absent, Sales, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Prof-specialty, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, HS-grad, Divorced, Sales, White, Female, United-States, <=50K
 ?, 12th, Separated, ?, Black, Female, United-States, <=50K
 Federal-gov, HS-grad, Never-married, Transport-moving, Asian-Pac-Islander, Female, United-States, <=50K
 Private, HS-grad, Separated, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Sales, Black, Female, United-States, <=50K
 Federal-gov, Assoc-acdm, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Black, Female, Jamaica, <=50K
 Private, Some-college, Separated, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Widowed, Exec-managerial, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Other-service, White, Male, ?, <=50K
 Private, Bachelors, Divorced, Prof-specialty, Black, Female, Haiti, <=50K
 Local-gov, Masters, Divorced, Prof-specialty, Black, Female, United-States, <=50K
 Private, Some-college, Divorced, Machine-op-inspct, Amer-Indian-Eskimo, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, White, Female, United-States, >50K
 ?, HS-grad, Divorced, ?, White, Female, United-States, <=50K
 State-gov, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, White, Female, United-States, <=50K
