 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, Asian-Pac-Islander, Female, United-States, <=50K
 Self-emp-not-inc, Some-college, Divorced, Handlers-cleaners, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, 10th, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Other-service, White, Female, United-States, <=50K
 ?, 9th, Never-married, ?, White, Male, United-States, <=50K
 Private, 10th, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 12th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Self-emp-inc, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, Asian-Pac-Islander, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, 11th, Married-civ-spouse, Machine-op-inspct, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Farming-fishing, Black, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, Black, Male, United-States, <=50K
 Self-emp-not-inc, 11th, Never-married, Farming-fishing, Black, Male, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, 9th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Local-gov, Some-college, Never-married, Protective-serv, White, Male, United-States, <=50K
 Federal-gov, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Protective-serv, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, Mexico, <=50K
 Private, Masters, Divorced, Exec-managerial, White, Female, United-States, >50K
 Private, 11th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, 9th, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 State-gov, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Sales, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, ?, <=50K
 ?, HS-grad, Never-married, ?, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, 11th, Never-married, Craft-repair, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 ?, 11th, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 State-gov, Some-college, Never-married, Prof-specialty, White, Male, United-States, <=50K
 ?, 12th, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Male, United-States, <=50K
 State-gov, Masters, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, Asian-Pac-Islander, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Married-spouse-absent, Adm-clerical, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Exec-managerial, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Asian-Pac-Islander, Female, United-States, <=50K
 Private, 12th, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, Asian-Pac-Islander, Male, Taiwan, <=50K
 Private, Some-college, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, Black, Male, United-States, <=50K
 State-gov, Some-college, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, Other, Female, United-States, <=50K
 ?, HS-grad, Widowed, ?, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Local-gov, Some-college, Never-married, Transport-moving, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 State-gov, Some-college, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Tech-support, White, Female, United-States, <=50K
 State-gov, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 State-gov, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, 10th, Never-married, Other-service, White, Female, United-States, <=50K
 ?, 10th, Never-married, ?, Other, Female, United-States, <=50K
 Private, HS-grad, Divorced, Handlers-cleaners, White, Male, United-States, <=50K
 ?, Some-college, Divorced, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, 12th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Female, United-States, <=50K
 ?, Assoc-acdm, Never-married, ?, White, Male, United-States, <=50K
 Private, 12th, Never-married, Other-service, White, Male, United-States, <=50K
 ?, Some-college, Divorced, ?, White, Female, ?, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Federal-gov, Some-college, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Male, England, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Sales, White, Female, United-States, <=50K
 Private, 10th, Separated, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Self-emp-not-inc, Assoc-acdm, Divorced, Craft-repair, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, 10th, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, Some-college, Married-spouse-absent, Farming-fishing, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, 12th, Never-married, Handlers-cleaners, White, Male, Columbia, <=50K
 Private, 10th, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, Black, Female, United-States, <=50K
 Local-gov, Some-college, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 State-gov, Some-college, Separated, Exec-managerial, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, 9th, Never-married, Transport-moving, White, Male, United-States, <=50K
 Local-gov, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, 10th, Separated, Transport-moving, White, Male, United-States, <=50K
 Local-gov, Assoc-acdm, Divorced, Tech-support, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 10th, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 9th, Never-married, Craft-repair, White, Male, El-Salvador, <=50K
 Private, HS-grad, Never-married, Priv-house-serv, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Local-gov, Bachelors, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Sales, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Sales, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, Canada, <=50K
 Private, Some-college, Never-married, Priv-house-serv, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male, United-States, <=50K
 Self-emp-inc, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Other-service, White, Male, Mexico, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 11th, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 State-gov, Some-college, Divorced, Adm-clerical, White, Male, United-States, <=50K
 Private, 11th, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, Asian-Pac-Islander, Female, United-States, <=50K
 Local-gov, HS-grad, Never-married, Protective-serv, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Federal-gov, Bachelors, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, 9th, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, Amer-Indian-Eskimo, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, 11th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, Some-college, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Married-spouse-absent, Sales, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, Asian-Pac-Islander, Male, Philippines, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, Bachelors, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Other, Male, Puerto-Rico, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, ?, <=50K
 Private, 10th, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Craft-repair, White, Male, United-States, >50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Self-emp-not-inc, Doctorate, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Female, United-States, <=50K
 ?, 7th-8th, Never-married, ?, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Masters, Divorced, Prof-specialty, White, Female, United-States, >50K
 Private, Assoc-voc, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
 Self-emp-not-inc, Assoc-acdm, Never-married, Prof-specialty, Black, Female, United-States, <=50K
 State-gov, Some-college, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, 10th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Female, Cuba, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Masters, Never-married, Prof-specialty, White, Female, United-States, >50K
 Private, 11th, Never-married, Other-service, White, Female, United-States, <=50K
 ?, 11th, Never-married, ?, White, Male, United-States, <=50K
 Local-gov, Assoc-voc, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Local-gov, Bachelors, Never-married, Tech-support, White, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, Asian-Pac-Islander, Female, Taiwan, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, 7th-8th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 State-gov, 11th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, Black, Female, United-States, <=50K
 Private, 10th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Female, United-States, <=50K
 Private, 11th, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Craft-repair, White, Male, Mexico, <=50K
 Private, 11th, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, Black, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 State-gov, Some-college, Separated, Exec-managerial, White, Male, United-States, <=50K
 State-gov, Some-college, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 11th, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, 11th, Married-spouse-absent, Handlers-cleaners, White, Male, Dominican-Republic, <=50K
 Private, 12th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Separated, Craft-repair, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Transport-moving, White, Male, United-States, <=50K
 ?, 11th, Never-married, ?, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Tech-support, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-inc, 10th, Never-married, Sales, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, Asian-Pac-Islander, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Local-gov, Assoc-acdm, Never-married, Adm-clerical, Black, Female, Haiti, <=50K
 Private, 11th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, El-Salvador, <=50K
 Private, Some-college, Never-married, Adm-clerical, Asian-Pac-Islander, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, Asian-Pac-Islander, Female, South, <=50K
 Private, Assoc-acdm, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Local-gov, Some-college, Never-married, Protective-serv, White, Female, United-States, >50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 State-gov, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Black, Male, United-States, <=50K
 Self-emp-not-inc, 10th, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, El-Salvador, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Local-gov, 11th, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Self-emp-inc, Some-college, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Local-gov, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 9th, Separated, Craft-repair, White, Male, Mexico, <=50K
 Self-emp-not-inc, Some-college, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, Black, Female, United-States, <=50K
 Private, 10th, Married-civ-spouse, Craft-repair, Other, Male, United-States, >50K
 Private, 10th, Never-married, Other-service, White, Male, United-States, <=50K
 ?, 10th, Never-married, ?, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Black, Male, United-States, <=50K
